
libgomp: Invalid value for environment variable OMP_NUM_THREADS
08-29 00:32:33 Model para number = 1.04
Training checkpoint exps/qmf_sync_rank_smoke_seed0/model/training_0005.checkpoint loaded; resume from epoch 6 with optimizer and scheduler state!
08-29 00:39:12 [ 6] r: 1.200000, Lr: 0.000774, Training: 1.86%,  LossV: 0.38727, LossAV: 0.25318, LossSync: 0.61715, LossRank: 0.01639, Loss: 0.51017, ACC: 89.71% 
08-29 00:39:18 [ 6] r: 1.200000, Lr: 0.000774, Training: 1.93%,  LossV: 0.38479, LossAV: 0.24842, LossSync: 0.61710, LossRank: 0.01598, Loss: 0.50412, ACC: 89.93% 
08-29 00:39:24 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.00%,  LossV: 0.38327, LossAV: 0.24710, LossSync: 0.61587, LossRank: 0.01582, Loss: 0.50190, ACC: 89.97% 
08-29 00:39:30 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.07%,  LossV: 0.38477, LossAV: 0.24552, LossSync: 0.61449, LossRank: 0.01572, Loss: 0.50093, ACC: 90.00% 
08-29 00:39:31 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.14%,  LossV: 0.38292, LossAV: 0.24344, LossSync: 0.61614, LossRank: 0.01550, Loss: 0.49806, ACC: 90.08% 
08-29 00:39:32 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.21%,  LossV: 0.38263, LossAV: 0.24076, LossSync: 0.61489, LossRank: 0.01546, Loss: 0.49511, ACC: 90.20% 
08-29 00:39:33 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.28%,  LossV: 0.37939, LossAV: 0.23639, LossSync: 0.61501, LossRank: 0.01525, Loss: 0.48911, ACC: 90.38% 
08-29 00:39:38 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.36%,  LossV: 0.37951, LossAV: 0.23662, LossSync: 0.61547, LossRank: 0.01518, Loss: 0.48944, ACC: 90.35% 
08-29 00:39:42 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.43%,  LossV: 0.38000, LossAV: 0.23646, LossSync: 0.61565, LossRank: 0.01515, Loss: 0.48954, ACC: 90.29% 
08-29 00:39:42 [ 6] r: 1.200000, Lr: 0.000774, Training: 2.50%,  LossV: 0.38330, LossAV: 0.23779, LossSync: 0.61459, LossRank: 0.01542, Loss: 0.49244, ACC: 90.21% 
